zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CST,8736015600,-21600,0
America/Chicago,US,CDT,8747510400,-18000,1
America/Chicago,US,CST,8768070000,-21600,0
America/Chicago,US,CDT,8778960000,-18000,1
America/Chicago,US,CST,8799519600,-21600,0
America/Chicago,US,CDT,8810409600,-18000,1
America/Chicago,US,CST,8830969200,-21600,0
America/Chicago,US,CDT,8841859200,-18000,1
America/Chicago,US,CST,8862418800,-21600,0
America/Chicago,US,CDT,8873308800,-18000,1
America/Chicago,US,CST,8893868400,-21600,0
America/Chicago,US,CDT,8905363200,-18000,1
America/Chicago,US,CST,8925922800,-21600,0
America/Chicago,US,CDT,8936812800,-18000,1
America/Chicago,US,CST,8957372400,-21600,0
America/Chicago,US,CDT,8968262400,-18000,1
America/Chicago,US,CST,8988822000,-21600,0
America/Chicago,US,CDT,8999712000,-18000,1
America/Chicago,US,CST,9020271600,-21600,0
America/Chicago,US,CDT,9031161600,-18000,1
America/Chicago,US,CST,9051721200,-21600,0
America/Chicago,US,CDT,9062611200,-18000,1
America/Chicago,US,CST,9083170800,-21600,0
America/Chicago,US,CDT,9094665600,-18000,1
America/Chicago,US,CST,9115225200,-21600,0
America/Chicago,US,CDT,9126115200,-18000,1
America/Chicago,US,CST,9146674800,-21600,0
America/Chicago,US,CDT,9157564800,-18000,1
America/Chicago,US,CST,9178124400,-21600,0
America/Chicago,US,CDT,9189014400,-18000,1
America/Chicago,US,CST,9209574000,-21600,0
America/Chicago,US,CDT,9220464000,-18000,1
America/Chicago,US,CST,9241023600,-21600,0
America/Chicago,US,CDT,9251913600,-18000,1
America/Chicago,US,CST,9272473200,-21600,0
America/Chicago,US,CDT,9283968000,-18000,1
America/Chicago,US,CST,9304527600,-21600,0
America/Chicago,US,CDT,9315417600,-18000,1
America/Chicago,US,CST,9335977200,-21600,0
America/Chicago,US,CDT,9346867200,-18000,1
America/Chicago,US,CST,9367426800,-21600,0
America/Chicago,US,CDT,9378316800,-18000,1
America/Chicago,US,CST,9398876400,-21600,0
America/Chicago,US,CDT,9409766400,-18000,1
America/Chicago,US,CST,9430326000,-21600,0
America/Chicago,US,CDT,9441820800,-18000,1
America/Chicago,US,CST,9462380400,-21600,0
America/Chicago,US,CDT,9473270400,-18000,1
America/Chicago,US,CST,9493830000,-21600,0
America/Chicago,US,CDT,9504720000,-18000,1
America/Chicago,US,CST,9525279600,-21600,0
America/Chicago,US,CDT,9536169600,-18000,1
America/Chicago,US,CST,9556729200,-21600,0
America/Chicago,US,CDT,9567619200,-18000,1
America/Chicago,US,CST,9588178800,-21600,0
America/Chicago,US,CDT,9599068800,-18000,1
America/Chicago,US,CST,9619628400,-21600,0
America/Chicago,US,CDT,9631123200,-18000,1
America/Chicago,US,CST,9651682800,-21600,0
America/Chicago,US,CDT,9662572800,-18000,1
America/Chicago,US,CST,9683132400,-21600,0
